 1FM6_A 1GWQ_A 1L2I_A 1MZN_C 1PZL_A 1RDT_A 1T5Z_A 1T65_A 1T73_A 1T74_A 1T79_A 1T7F_A 1T7M_A 1T7R_A 1TFC_A 1TFC_B 1XB7_A 1XIU_B 1YUC_B 1ZDT_B 2AO6_A 2B1Z_A 2B1Z_B 2GPO_A 2J7X_A 2J7Y_A 2O4J_A 2Q3Y_A 2Q7K_A 2QR9_B 2QSE_A 2QXM_A 2QZO_A 2ZFX_A 3A2H_A 3BEJ_A 3BEJ_B 3BQD_A 3D24_C 3F7D_A 3FS1_A 3GYT_A 3IPS_A 3IPU_A 3L03_A 3L0E_A 3L3X_A 3L3Z_A 3MNO_A 3OMK_C 3OMQ_B 3Q97_B 3RUU_A 3V4A_A 3VRW_A 3VT5_A 3VT8_A 3W0H_A 3W0I_A 4DK7_A 4DM8_B 4IUI_B 4J24_D 4JYG_B 4JYI_A 4JYI_B 4MG8_A 4MG9_B 4MGD_A 4OAR_A 4OEY_A 4OEZ_A 4OFR_A 4OFU_A 4OHA_A 4OK1_A 4OKT_A 4OKX_A 4ONI_B 4P6W_A 4PPS_A 4PXM_A 4PXM_B 4Q13_B 4QJR_A 4UDA_A 4ZI1_A 4ZN9_A 4ZN9_B 4ZNH_B 4ZNU_A 4ZUB_A
2ZFX_A 0.17 0.20 0.22 0.15 0.18 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.22 0.16 0.19 0.18 0.14 0.21 0.21 0.25 0.18 0.18 1.00 0.15 0.13 0.20 0.20 0.20 0.22 1.00 0.99 0.27 0.27 0.15 0.22 0.16 0.17 0.15 0.33 0.34 0.21 0.30 0.14 0.14 0.14 0.27 0.17 0.20 0.27 0.14 0.99 0.99 0.97 0.97 0.99 0.30 0.25 0.22 0.17 0.24 0.25 0.24 0.21 0.20 0.22 0.17 0.14 0.14 0.14 0.13 0.14 0.14 0.14 0.13 0.19 0.15 0.20 0.21 0.21 0.21 0.18 0.14 0.17 0.22 0.21 0.21 0.22 0.21
3A2H_A 0.17 0.20 0.21 0.15 0.18 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.24 0.24 0.22 0.16 0.19 0.18 0.14 0.21 0.21 0.24 0.18 0.18 1.00 0.16 0.13 0.21 0.20 0.20 0.21 0.99 1.00 0.27 0.27 0.15 0.22 0.16 0.18 0.15 0.33 0.34 0.22 0.30 0.14 0.14 0.14 0.28 0.18 0.21 0.28 0.14 0.99 0.99 0.97 0.96 0.98 0.30 0.26 0.22 0.18 0.25 0.25 0.25 0.21 0.21 0.21 0.16 0.13 0.14 0.14 0.13 0.13 0.14 0.13 0.13 0.19 0.15 0.21 0.22 0.21 0.21 0.18 0.14 0.18 0.22 0.21 0.21 0.21 0.21
3BEJ_A 0.21 0.17 0.19 0.20 0.19 0.21 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.20 0.21 0.20 0.21 0.18 0.16 0.15 0.19 0.19 0.21 0.18 0.18 0.27 0.16 0.15 0.17 0.17 0.18 0.18 0.27 0.27 1.00 0.98 0.15 0.20 0.17 0.19 0.19 0.35 0.33 0.17 0.31 0.16 0.16 0.16 0.97 0.17 0.18 0.97 0.15 0.27 0.27 0.28 0.26 0.27 0.32 0.25 0.18 0.17 0.25 0.25 0.25 0.18 0.19 0.18 0.15 0.15 0.15 0.15 0.15 0.15 0.16 0.16 0.15 0.18 0.16 0.17 0.17 0.17 0.18 0.16 0.19 0.17 0.17 0.17 0.18 0.18 0.17
3BEJ_B 0.21 0.17 0.19 0.21 0.19 0.21 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.20 0.20 0.19 0.21 0.19 0.16 0.15 0.19 0.20 0.20 0.18 0.18 0.27 0.16 0.15 0.17 0.17 0.19 0.18 0.27 0.27 0.98 1.00 0.15 0.19 0.16 0.19 0.19 0.34 0.34 0.18 0.32 0.16 0.16 0.15 0.98 0.17 0.18 1.00 0.15 0.28 0.27 0.29 0.27 0.28 0.33 0.26 0.18 0.17 0.25 0.25 0.26 0.18 0.19 0.18 0.15 0.15 0.16 0.15 0.15 0.15 0.16 0.16 0.15 0.19 0.17 0.17 0.18 0.17 0.18 0.16 0.19 0.17 0.17 0.17 0.18 0.18 0.17
3BQD_A 0.19 0.25 0.24 0.17 0.18 0.17 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.23 0.23 0.23 0.17 0.18 0.17 0.49 0.23 0.23 0.23 0.24 0.23 0.15 0.64 0.49 0.25 0.25 0.25 0.24 0.15 0.15 0.15 0.15 1.00 0.23 0.17 0.17 0.14 0.15 0.15 0.23 0.15 0.49 0.49 0.93 0.16 0.24 0.26 0.16 0.49 0.14 0.16 0.15 0.15 0.15 0.16 0.14 0.23 0.23 0.13 0.14 0.14 0.26 0.23 0.26 0.51 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.48 0.18 0.96 0.25 0.23 0.22 0.23 0.18 0.55 0.23 0.23 0.23 0.23 0.25 0.24
3D24_C 0.29 0.29 0.32 0.31 0.27 0.30 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.62 0.62 0.96 0.30 0.27 0.24 0.21 0.31 0.31 0.62 0.34 0.34 0.22 0.21 0.21 0.29 0.30 0.31 0.32 0.22 0.22 0.20 0.19 0.23 1.00 0.25 0.27 0.13 0.22 0.22 0.31 0.20 0.20 0.20 0.24 0.18 0.34 0.30 0.19 0.21 0.22 0.22 0.23 0.21 0.22 0.22 0.24 0.33 0.35 0.23 0.23 0.23 0.30 0.31 0.30 0.21 0.21 0.21 0.21 0.21 0.21 0.20 0.20 0.21 0.26 0.23 0.29 0.31 0.31 0.31 0.24 0.23 0.33 0.30 0.30 0.32 0.30 0.30
3F7D_A 0.29 0.21 0.22 0.27 0.25 0.28 0.19 0.18 0.19 0.18 0.18 0.19 0.19 0.19 0.26 0.26 0.25 0.30 0.59 0.90 0.19 0.21 0.21 0.26 0.19 0.19 0.16 0.19 0.19 0.21 0.21 0.22 0.22 0.16 0.16 0.17 0.16 0.17 0.25 1.00 0.25 0.13 0.23 0.24 0.22 0.21 0.19 0.20 0.17 0.16 0.19 0.21 0.17 0.19 0.17 0.17 0.17 0.17 0.16 0.23 0.22 0.21 0.19 0.21 0.21 0.21 0.21 0.21 0.21 0.18 0.20 0.19 0.20 0.20 0.19 0.18 0.19 0.19 0.58 0.17 0.21 0.21 0.21 0.21 0.89 0.19 0.19 0.22 0.21 0.21 0.21 0.22
3FS1_A 0.37 0.22 0.22 0.37 0.97 0.37 0.18 0.19 0.19 0.19 0.19 0.19 0.19 0.18 0.27 0.27 0.26 0.37 0.26 0.25 0.19 0.22 0.22 0.27 0.25 0.24 0.17 0.16 0.19 0.22 0.23 0.23 0.22 0.17 0.18 0.19 0.19 0.17 0.27 0.25 1.00 0.14 0.23 0.23 0.22 0.21 0.19 0.19 0.18 0.20 0.24 0.22 0.20 0.19 0.18 0.17 0.18 0.17 0.17 0.24 0.20 0.22 0.24 0.20 0.20 0.20 0.22 0.23 0.22 0.20 0.19 0.19 0.19 0.19 0.19 0.18 0.19 0.19 0.26 0.18 0.22 0.23 0.23 0.22 0.25 0.17 0.24 0.22 0.22 0.23 0.21 0.22
3GYT_A 0.17 0.12 0.12 0.17 0.14 0.17 0.12 0.12 0.12 0.12 0.11 0.12 0.12 0.11 0.16 0.16 0.12 0.18 0.13 0.14 0.12 0.11 0.11 0.16 0.10 0.10 0.16 0.11 0.12 0.12 0.12 0.12 0.11 0.15 0.15 0.19 0.19 0.14 0.13 0.13 0.14 1.00 0.16 0.17 0.12 0.14 0.12 0.12 0.13 0.17 0.12 0.12 0.19 0.11 0.15 0.15 0.15 0.15 0.15 0.14 0.15 0.11 0.10 0.15 0.15 0.15 0.12 0.11 0.12 0.10 0.12 0.12 0.12 0.12 0.12 0.11 0.12 0.12 0.12 0.13 0.12 0.11 0.12 0.12 0.14 0.11 0.10 0.11 0.11 0.12 0.12 0.12
3IPS_A 0.20 0.16 0.18 0.20 0.24 0.20 0.19 0.19 0.19 0.18 0.19 0.19 0.18 0.19 0.24 0.24 0.22 0.19 0.19 0.23 0.19 0.18 0.18 0.25 0.19 0.19 0.33 0.18 0.19 0.17 0.18 0.18 0.19 0.33 0.33 0.35 0.34 0.15 0.22 0.23 0.23 0.16 1.00 0.94 0.18 0.72 0.19 0.19 0.16 0.33 0.19 0.17 0.34 0.18 0.33 0.33 0.34 0.32 0.33 0.74 0.29 0.19 0.18 0.30 0.30 0.30 0.17 0.19 0.19 0.14 0.19 0.19 0.19 0.19 0.19 0.18 0.19 0.19 0.19 0.17 0.18 0.19 0.19 0.19 0.22 0.19 0.18 0.18 0.18 0.19 0.18 0.18
3IPU_A 0.21 0.17 0.18 0.19 0.22 0.19 0.20 0.20 0.20 0.19 0.20 0.20 0.19 0.20 0.23 0.23 0.21 0.18 0.20 0.24 0.19 0.18 0.18 0.23 0.18 0.18 0.33 0.17 0.19 0.17 0.18 0.18 0.18 0.34 0.34 0.33 0.34 0.15 0.22 0.24 0.23 0.17 0.94 1.00 0.18 0.74 0.20 0.20 0.16 0.32 0.18 0.17 0.33 0.19 0.34 0.34 0.34 0.33 0.34 0.74 0.29 0.18 0.17 0.29 0.29 0.30 0.17 0.18 0.18 0.15 0.20 0.20 0.19 0.20 0.19 0.19 0.19 0.20 0.19 0.17 0.18 0.18 0.17 0.17 0.21 0.20 0.18 0.18 0.18 0.17 0.18 0.18
3L03_A 0.29 0.94 0.98 0.28 0.23 0.28 0.20 0.19 0.20 0.20 0.20 0.19 0.20 0.19 0.35 0.35 0.31 0.26 0.25 0.24 0.20 0.98 0.98 0.35 0.59 0.59 0.20 0.22 0.20 0.97 0.96 0.97 0.96 0.21 0.22 0.17 0.18 0.23 0.31 0.22 0.22 0.12 0.18 0.18 1.00 0.18 0.19 0.19 0.22 0.19 0.58 0.97 0.18 0.20 0.21 0.21 0.22 0.20 0.21 0.19 0.21 0.93 0.57 0.20 0.20 0.21 0.97 0.97 0.97 0.22 0.20 0.20 0.20 0.20 0.20 0.19 0.19 0.20 0.25 0.23 0.98 0.96 0.95 0.94 0.23 0.23 0.58 0.97 0.97 0.97 0.97 0.99
3L0E_A 0.20 0.18 0.18 0.20 0.22 0.20 0.18 0.18 0.18 0.17 0.18 0.18 0.17 0.18 0.23 0.23 0.19 0.20 0.21 0.22 0.17 0.18 0.18 0.23 0.18 0.18 0.30 0.16 0.17 0.18 0.17 0.18 0.17 0.30 0.30 0.31 0.32 0.15 0.20 0.21 0.21 0.14 0.72 0.74 0.18 1.00 0.17 0.17 0.15 0.31 0.18 0.18 0.31 0.17 0.30 0.30 0.30 0.30 0.30 0.91 0.30 0.17 0.18 0.30 0.30 0.30 0.17 0.17 0.17 0.12 0.17 0.17 0.17 0.17 0.17 0.18 0.18 0.17 0.21 0.17 0.18 0.18 0.17 0.17 0.22 0.18 0.18 0.18 0.18 0.18 0.18 0.17
3L3X_A 0.18 0.19 0.20 0.18 0.18 0.18 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 0.19 0.19 0.20 0.17 0.18 0.18 0.97 0.19 0.19 0.19 0.23 0.23 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.19 0.19 0.12 0.19 0.20 0.19 0.17 1.00 1.00 0.48 0.17 0.22 0.20 0.17 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.18 0.22 0.14 0.14 0.14 0.19 0.18 0.20 0.52 0.96 0.96 0.97 0.96 0.96 0.99 0.98 0.95 0.18 0.50 0.20 0.19 0.18 0.18 0.18 0.51 0.22 0.20 0.20 0.18 0.19 0.20
3L3Z_A 0.18 0.19 0.20 0.18 0.18 0.18 0.99 0.98 0.99 0.99 0.99 0.98 0.99 0.98 0.19 0.19 0.20 0.17 0.18 0.17 0.97 0.19 0.19 0.19 0.23 0.22 0.14 0.59 0.96 0.20 0.19 0.20 0.19 0.14 0.14 0.16 0.16 0.49 0.20 0.20 0.19 0.12 0.19 0.20 0.19 0.17 1.00 1.00 0.48 0.17 0.22 0.20 0.17 0.98 0.14 0.14 0.15 0.14 0.14 0.16 0.14 0.18 0.22 0.14 0.14 0.14 0.19 0.18 0.20 0.51 0.96 0.97 0.97 0.96 0.96 0.99 0.98 0.96 0.18 0.50 0.19 0.19 0.18 0.18 0.17 0.51 0.22 0.20 0.20 0.18 0.19 0.19
3MNO_A 0.18 0.23 0.22 0.17 0.18 0.17 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.22 0.22 0.24 0.17 0.17 0.19 0.48 0.22 0.22 0.22 0.22 0.22 0.14 0.63 0.48 0.23 0.24 0.24 0.22 0.14 0.14 0.16 0.15 0.93 0.24 0.17 0.18 0.13 0.16 0.16 0.22 0.15 0.48 0.48 1.00 0.17 0.22 0.24 0.16 0.48 0.13 0.15 0.14 0.14 0.14 0.16 0.15 0.21 0.22 0.15 0.15 0.14 0.23 0.22 0.24 0.52 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.17 0.89 0.23 0.22 0.21 0.21 0.18 0.54 0.22 0.22 0.22 0.21 0.22 0.22
3OMK_C 0.21 0.18 0.18 0.20 0.20 0.20 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.20 0.20 0.18 0.21 0.17 0.16 0.16 0.19 0.19 0.20 0.17 0.17 0.28 0.16 0.16 0.17 0.17 0.18 0.17 0.27 0.28 0.97 0.98 0.16 0.18 0.16 0.20 0.17 0.33 0.32 0.19 0.31 0.17 0.17 0.17 1.00 0.16 0.18 0.98 0.16 0.27 0.28 0.29 0.27 0.28 0.32 0.25 0.17 0.16 0.25 0.25 0.26 0.18 0.19 0.18 0.15 0.16 0.17 0.16 0.16 0.16 0.17 0.17 0.16 0.17 0.17 0.18 0.18 0.18 0.18 0.15 0.19 0.17 0.18 0.19 0.19 0.18 0.18
3OMQ_B 0.29 0.56 0.58 0.28 0.23 0.29 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.34 0.34 0.34 0.29 0.22 0.21 0.23 0.58 0.57 0.34 0.91 0.92 0.17 0.24 0.23 0.56 0.56 0.56 0.57 0.17 0.18 0.17 0.17 0.24 0.34 0.19 0.24 0.12 0.19 0.18 0.58 0.18 0.22 0.22 0.22 0.16 1.00 0.56 0.17 0.23 0.18 0.17 0.18 0.17 0.17 0.19 0.19 0.56 0.97 0.18 0.18 0.18 0.57 0.58 0.56 0.22 0.23 0.23 0.23 0.23 0.23 0.21 0.22 0.23 0.22 0.23 0.57 0.59 0.59 0.59 0.21 0.24 0.94 0.57 0.57 0.58 0.56 0.57
3Q97_B 0.29 0.96 0.96 0.28 0.23 0.28 0.20 0.20 0.21 0.20 0.20 0.20 0.20 0.20 0.35 0.34 0.30 0.26 0.24 0.24 0.21 0.97 0.96 0.34 0.58 0.57 0.20 0.23 0.21 0.98 0.97 0.96 0.94 0.20 0.21 0.18 0.18 0.26 0.30 0.21 0.22 0.12 0.17 0.17 0.97 0.18 0.20 0.20 0.24 0.18 0.56 1.00 0.18 0.20 0.20 0.21 0.21 0.20 0.21 0.18 0.20 0.91 0.56 0.20 0.20 0.20 1.00 0.96 0.99 0.22 0.21 0.21 0.21 0.21 0.21 0.20 0.20 0.20 0.24 0.25 0.98 0.94 0.93 0.93 0.23 0.24 0.57 0.95 0.95 0.94 0.96 0.98
3RUU_A 0.22 0.17 0.19 0.21 0.19 0.21 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.21 0.20 0.19 0.22 0.19 0.16 0.16 0.19 0.19 0.21 0.19 0.19 0.28 0.17 0.16 0.17 0.16 0.19 0.18 0.27 0.28 0.97 1.00 0.16 0.19 0.17 0.20 0.19 0.34 0.33 0.18 0.31 0.17 0.17 0.16 0.98 0.17 0.18 1.00 0.16 0.28 0.27 0.28 0.27 0.27 0.33 0.26 0.18 0.18 0.26 0.26 0.26 0.18 0.20 0.18 0.16 0.16 0.17 0.16 0.16 0.16 0.17 0.17 0.16 0.19 0.17 0.17 0.17 0.17 0.18 0.16 0.20 0.17 0.17 0.17 0.17 0.18 0.17
3V4A_A 0.18 0.20 0.20 0.18 0.19 0.18 0.97 0.97 0.97 0.98 0.97 0.97 0.98 0.97 0.20 0.20 0.21 0.18 0.18 0.18 0.99 0.20 0.20 0.20 0.23 0.23 0.14 0.60 0.99 0.20 0.20 0.20 0.20 0.14 0.14 0.15 0.15 0.49 0.21 0.19 0.19 0.11 0.18 0.19 0.20 0.17 0.97 0.98 0.48 0.16 0.23 0.20 0.16 1.00 0.14 0.15 0.15 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.21 0.19 0.21 0.52 0.98 0.98 0.99 0.98 0.98 0.97 0.97 0.98 0.18 0.50 0.20 0.20 0.19 0.19 0.18 0.52 0.22 0.20 0.20 0.19 0.19 0.20
3VRW_A 0.17 0.20 0.21 0.16 0.18 0.16 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.24 0.24 0.22 0.16 0.19 0.18 0.14 0.21 0.21 0.24 0.18 0.18 0.99 0.15 0.14 0.21 0.20 0.20 0.21 0.99 0.99 0.27 0.28 0.14 0.22 0.17 0.18 0.15 0.33 0.34 0.21 0.30 0.14 0.14 0.13 0.27 0.18 0.20 0.28 0.14 1.00 0.99 0.97 0.96 0.98 0.30 0.25 0.21 0.17 0.25 0.25 0.25 0.20 0.21 0.21 0.17 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.13 0.19 0.14 0.21 0.22 0.21 0.21 0.17 0.14 0.18 0.22 0.21 0.21 0.21 0.20
3VT5_A 0.17 0.20 0.22 0.16 0.17 0.16 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.22 0.16 0.19 0.18 0.14 0.21 0.21 0.25 0.18 0.18 0.99 0.15 0.14 0.21 0.20 0.20 0.22 0.99 0.99 0.27 0.27 0.16 0.22 0.17 0.17 0.15 0.33 0.34 0.21 0.30 0.14 0.14 0.15 0.28 0.17 0.21 0.27 0.15 0.99 1.00 0.97 0.97 0.99 0.30 0.25 0.21 0.17 0.24 0.25 0.24 0.21 0.20 0.22 0.17 0.14 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.19 0.15 0.21 0.22 0.21 0.21 0.18 0.14 0.17 0.22 0.22 0.22 0.22 0.21
3VT8_A 0.18 0.20 0.22 0.16 0.18 0.16 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.26 0.26 0.22 0.16 0.19 0.18 0.14 0.22 0.22 0.26 0.18 0.18 0.97 0.14 0.14 0.21 0.20 0.21 0.22 0.97 0.97 0.28 0.29 0.15 0.23 0.17 0.18 0.15 0.34 0.34 0.22 0.30 0.14 0.15 0.14 0.29 0.18 0.21 0.28 0.15 0.97 0.97 1.00 0.94 0.96 0.31 0.26 0.22 0.18 0.25 0.25 0.25 0.21 0.21 0.22 0.16 0.14 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.19 0.15 0.21 0.23 0.22 0.22 0.17 0.14 0.18 0.23 0.22 0.22 0.22 0.22
3W0H_A 0.17 0.19 0.21 0.15 0.17 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.24 0.24 0.21 0.15 0.18 0.18 0.13 0.21 0.20 0.24 0.17 0.17 0.97 0.15 0.13 0.20 0.19 0.19 0.21 0.97 0.96 0.26 0.27 0.15 0.21 0.17 0.17 0.15 0.32 0.33 0.20 0.30 0.14 0.14 0.14 0.27 0.17 0.20 0.27 0.14 0.96 0.97 0.94 1.00 0.98 0.29 0.25 0.21 0.17 0.24 0.24 0.24 0.20 0.19 0.21 0.16 0.13 0.14 0.14 0.13 0.13 0.14 0.14 0.13 0.18 0.15 0.20 0.21 0.21 0.21 0.17 0.14 0.17 0.21 0.20 0.21 0.21 0.21
3W0I_A 0.17 0.20 0.21 0.15 0.17 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.21 0.16 0.19 0.18 0.14 0.21 0.21 0.25 0.18 0.18 0.99 0.15 0.14 0.21 0.19 0.19 0.21 0.99 0.98 0.27 0.28 0.15 0.22 0.16 0.17 0.15 0.33 0.34 0.21 0.30 0.14 0.14 0.14 0.28 0.17 0.21 0.27 0.14 0.98 0.99 0.96 0.98 1.00 0.30 0.25 0.21 0.17 0.24 0.25 0.24 0.21 0.20 0.22 0.16 0.14 0.15 0.14 0.14 0.14 0.14 0.14 0.14 0.19 0.16 0.21 0.22 0.21 0.21 0.18 0.14 0.17 0.22 0.21 0.21 0.21 0.21
4DK7_A 0.21 0.17 0.18 0.21 0.23 0.21 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.23 0.23 0.21 0.21 0.20 0.23 0.16 0.18 0.19 0.23 0.18 0.18 0.30 0.16 0.16 0.17 0.19 0.19 0.18 0.30 0.30 0.32 0.33 0.16 0.22 0.23 0.24 0.14 0.74 0.74 0.19 0.91 0.16 0.16 0.16 0.32 0.19 0.18 0.33 0.16 0.30 0.30 0.31 0.29 0.30 1.00 0.30 0.19 0.18 0.30 0.30 0.30 0.18 0.19 0.17 0.12 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.20 0.15 0.18 0.18 0.17 0.17 0.23 0.20 0.18 0.18 0.18 0.18 0.17 0.19
4DM8_B 0.28 0.20 0.21 0.28 0.20 0.28 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.26 0.26 0.23 0.28 0.21 0.22 0.14 0.20 0.19 0.26 0.20 0.20 0.25 0.16 0.14 0.20 0.21 0.21 0.20 0.25 0.26 0.25 0.26 0.14 0.24 0.22 0.20 0.15 0.29 0.29 0.21 0.30 0.14 0.14 0.15 0.25 0.19 0.20 0.26 0.14 0.25 0.25 0.26 0.25 0.25 0.30 1.00 0.20 0.18 0.99 0.99 0.99 0.20 0.21 0.21 0.15 0.15 0.14 0.14 0.15 0.14 0.14 0.15 0.14 0.21 0.15 0.21 0.19 0.20 0.19 0.22 0.17 0.18 0.19 0.20 0.20 0.20 0.21
4IUI_B 0.28 0.88 0.93 0.29 0.22 0.29 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.35 0.35 0.33 0.28 0.24 0.23 0.19 0.94 0.92 0.35 0.57 0.58 0.22 0.22 0.19 0.91 0.91 0.94 0.96 0.22 0.22 0.18 0.18 0.23 0.33 0.21 0.22 0.11 0.19 0.18 0.93 0.17 0.18 0.18 0.21 0.17 0.56 0.91 0.18 0.19 0.21 0.21 0.22 0.21 0.21 0.19 0.20 1.00 0.57 0.20 0.20 0.20 0.91 0.93 0.92 0.21 0.20 0.19 0.19 0.20 0.19 0.18 0.19 0.19 0.24 0.22 0.92 0.93 0.93 0.93 0.23 0.23 0.56 0.92 0.91 0.94 0.91 0.93
4J24_D 0.29 0.56 0.58 0.29 0.23 0.29 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.34 0.34 0.35 0.29 0.22 0.21 0.22 0.58 0.57 0.34 0.91 0.92 0.17 0.23 0.22 0.56 0.56 0.56 0.57 0.17 0.18 0.17 0.17 0.23 0.35 0.19 0.24 0.10 0.18 0.17 0.57 0.18 0.22 0.22 0.22 0.16 0.97 0.56 0.18 0.22 0.17 0.17 0.18 0.17 0.17 0.18 0.18 0.57 1.00 0.18 0.18 0.18 0.56 0.57 0.56 0.22 0.22 0.22 0.22 0.22 0.22 0.21 0.22 0.22 0.22 0.23 0.57 0.59 0.59 0.59 0.21 0.24 0.96 0.57 0.57 0.58 0.56 0.57
4JYG_B 0.27 0.19 0.20 0.28 0.20 0.28 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.23 0.28 0.20 0.21 0.14 0.20 0.19 0.25 0.19 0.19 0.25 0.16 0.14 0.19 0.20 0.20 0.20 0.24 0.25 0.25 0.25 0.13 0.23 0.21 0.20 0.15 0.30 0.29 0.20 0.30 0.14 0.14 0.15 0.25 0.18 0.20 0.26 0.14 0.25 0.24 0.25 0.24 0.24 0.30 0.99 0.20 0.18 1.00 0.99 1.00 0.20 0.19 0.21 0.14 0.15 0.14 0.14 0.15 0.15 0.14 0.15 0.14 0.21 0.14 0.20 0.18 0.18 0.18 0.21 0.17 0.18 0.19 0.19 0.20 0.20 0.20
4JYI_A 0.27 0.20 0.21 0.28 0.19 0.28 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.23 0.28 0.20 0.21 0.14 0.20 0.19 0.25 0.19 0.19 0.25 0.16 0.14 0.20 0.21 0.20 0.20 0.25 0.25 0.25 0.25 0.14 0.23 0.21 0.20 0.15 0.30 0.29 0.20 0.30 0.14 0.14 0.15 0.25 0.18 0.20 0.26 0.14 0.25 0.25 0.25 0.24 0.25 0.30 0.99 0.20 0.18 0.99 1.00 0.99 0.20 0.20 0.21 0.14 0.15 0.14 0.14 0.15 0.14 0.14 0.14 0.14 0.20 0.14 0.20 0.18 0.18 0.18 0.21 0.17 0.18 0.18 0.19 0.19 0.19 0.21
4JYI_B 0.27 0.19 0.21 0.28 0.19 0.28 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.25 0.25 0.23 0.28 0.21 0.21 0.14 0.20 0.19 0.25 0.19 0.18 0.25 0.16 0.14 0.19 0.20 0.20 0.20 0.24 0.25 0.25 0.26 0.14 0.23 0.21 0.20 0.15 0.30 0.30 0.21 0.30 0.14 0.14 0.14 0.26 0.18 0.20 0.26 0.14 0.25 0.24 0.25 0.24 0.24 0.30 0.99 0.20 0.18 1.00 0.99 1.00 0.20 0.20 0.20 0.14 0.15 0.14 0.14 0.15 0.14 0.14 0.15 0.14 0.20 0.14 0.21 0.19 0.18 0.18 0.22 0.17 0.18 0.19 0.19 0.20 0.21 0.21
4MG8_A 0.29 0.96 0.96 0.28 0.23 0.28 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.35 0.35 0.30 0.26 0.24 0.24 0.20 0.97 0.96 0.35 0.58 0.57 0.20 0.23 0.21 0.98 0.97 0.96 0.94 0.21 0.21 0.18 0.18 0.26 0.30 0.21 0.22 0.12 0.17 0.17 0.97 0.17 0.19 0.19 0.23 0.18 0.57 1.00 0.18 0.21 0.20 0.21 0.21 0.20 0.21 0.18 0.20 0.91 0.56 0.20 0.20 0.20 1.00 0.95 1.00 0.22 0.20 0.20 0.20 0.21 0.20 0.19 0.20 0.20 0.24 0.25 0.98 0.94 0.93 0.93 0.23 0.25 0.57 0.95 0.95 0.94 0.96 0.98
4MG9_B 0.29 0.93 0.97 0.29 0.23 0.28 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.35 0.35 0.31 0.27 0.24 0.23 0.19 0.99 0.97 0.35 0.60 0.59 0.20 0.22 0.19 0.94 0.94 0.96 0.96 0.20 0.21 0.19 0.19 0.23 0.31 0.21 0.23 0.11 0.19 0.18 0.97 0.17 0.18 0.18 0.22 0.19 0.58 0.96 0.20 0.19 0.21 0.20 0.21 0.19 0.20 0.19 0.21 0.93 0.57 0.19 0.20 0.20 0.95 1.00 0.95 0.21 0.20 0.19 0.19 0.20 0.19 0.18 0.19 0.19 0.24 0.22 0.96 0.96 0.96 0.95 0.23 0.23 0.59 0.95 0.94 0.97 0.95 0.96
